#Final resampeld spectrum with mask used for the fit
#
#Milky Way reddening already corrected
#
#Four columns
#1. lambda   2. flux   3. error   4. mask
#
   1136.0000  8.451390e-01  1.005180e-01                     0
   1136.4000  1.102174e+00  1.138484e-01                     0
   1136.8000  1.019408e+00  1.063044e-01                     0
   1137.2000  1.320350e+00  1.214671e-01                     0
   1137.6000  9.045702e-01  1.029301e-01                     0
   1138.0000  3.835689e-01  7.787175e-02                     0
   1138.4000  5.846923e-01  8.166511e-02                     0
   1138.8000  9.652990e-01  1.054544e-01                     0
   1139.2000  1.152368e+00  1.162040e-01                     0
   1139.6000  9.739487e-01  1.096157e-01                     0
   1140.0000  1.225643e+00  1.248341e-01                     0
   1140.4000  9.449804e-01  1.137684e-01                     0
   1140.8000  7.922694e-01  1.031171e-01                     0
   1141.2000  1.009703e+00  1.172342e-01                     0
   1141.6000  9.159527e-01  1.101451e-01                     0
   1142.0000  9.333249e-01  1.114445e-01                     0
   1142.4000  6.889007e-01  9.822834e-02                     0
   1142.8000  1.030385e+00  1.129351e-01                     0
   1143.2000  9.036299e-01  1.136313e-01                     0
   1143.6000  9.233164e-01  1.143531e-01                     0
   1144.0000  1.110614e+00  1.226163e-01                     0
   1144.4000  9.882342e-01  1.123651e-01                     0
   1144.8000  8.915669e-01  1.134659e-01                     0
   1145.2000  7.042065e-01  1.056454e-01                     0
   1145.6000  9.071410e-01  1.134323e-01                     0
   1146.0000  9.226551e-01  1.181754e-01                     0
   1146.4000  7.429803e-01  1.049093e-01                     0
   1146.8000  7.514493e-01  1.012535e-01                     0
   1147.2000  1.047092e+00  1.193884e-01                     0
   1147.6000  9.043516e-01  1.148556e-01                     0
   1148.0000  8.202875e-01  1.110207e-01                     1
   1148.4000  7.717817e-01  1.045884e-01                     1
   1148.8000  6.358906e-01  1.042513e-01                     1
   1149.2000  1.064779e+00  1.202189e-01                     1
   1149.6000  1.032109e+00  1.154397e-01                     1
   1150.0000  1.118180e+00  1.251632e-01                     1
   1150.4000  1.400248e+00  1.343881e-01                     1
   1150.8000  1.104332e+00  1.213669e-01                     1
   1151.2000  1.186291e+00  1.148683e-01                     1
   1151.6000  1.258062e+00  1.287548e-01                     1
   1152.0000  1.145233e+00  1.264249e-01                     1
   1152.4000  1.183900e+00  1.285638e-01                     1
   1152.8000  9.504421e-01  1.182294e-01                     1
   1153.2000  1.019087e+00  1.205724e-01                     1
   1153.6000  9.926746e-01  1.196441e-01                     1
   1154.0000  9.965002e-01  1.207410e-01                     1
   1154.4000  8.865276e-01  1.167159e-01                     1
   1154.8000  9.493833e-01  1.148455e-01                     1
   1155.2000  1.315073e+00  1.207943e-01                     1
   1155.6000  1.010959e+00  1.173903e-01                     1
   1156.0000  1.017565e+00  1.184455e-01                     1
   1156.4000  9.194744e-01  1.178572e-01                     1
   1156.8000  1.003390e+00  1.185924e-01                     1
