#Final resampeld spectrum with mask used for the fit
#
#Milky Way reddening already corrected
#
#Four columns
#1. lambda   2. flux   3. error   4. mask
#
   1184.0000  4.518312e+00  1.524105e-01                     0
   1184.4000  4.299615e+00  1.485195e-01                     0
   1184.8000  4.247079e+00  1.421986e-01                     0
   1185.2000  3.865506e+00  1.354099e-01                     0
   1185.6000  4.318265e+00  1.473564e-01                     0
   1186.0000  4.779037e+00  1.505137e-01                     0
   1186.4000  4.289750e+00  1.448565e-01                     0
   1186.8000  4.417058e+00  1.466329e-01                     0
   1187.2000  4.728711e+00  1.481610e-01                     0
   1187.6000  4.590244e+00  1.467794e-01                     0
   1188.0000  4.351316e+00  1.442979e-01                     0
   1188.4000  4.294540e+00  1.416906e-01                     0
   1188.8000  3.435693e+00  1.254465e-01                     0
   1189.2000  3.477710e+00  1.268927e-01                     0
   1189.6000  3.936763e+00  1.362761e-01                     0
   1190.0000  3.277880e+00  1.256851e-01                     0
   1190.4000  1.750097e+00  1.008183e-01                     0
   1190.8000  2.715934e+00  1.168652e-01                     0
   1191.2000  4.028815e+00  1.345509e-01                     0
   1191.6000  3.491595e+00  1.289998e-01                     0
   1192.0000  3.659476e+00  1.307678e-01                     0
   1192.4000  4.118705e+00  1.342062e-01                     0
   1192.8000  4.104540e+00  1.353000e-01                     0
   1193.2000  2.439597e+00  1.091326e-01                     0
   1193.6000  2.283626e+00  1.014422e-01                     0
   1194.0000  3.719127e+00  1.277957e-01                     0
   1194.4000  3.416822e+00  1.249525e-01                     0
   1194.8000  3.624112e+00  1.262634e-01                     0
   1195.2000  3.074019e+00  1.178376e-01                     0
   1195.6000  3.116105e+00  1.200317e-01                     0
   1196.0000  2.432996e+00  1.081038e-01                     0
   1196.4000  3.071569e+00  1.168562e-01                     0
   1196.8000  3.846926e+00  1.290122e-01                     0
   1197.2000  4.680748e+00  1.326390e-01                     0
   1197.6000  4.209267e+00  1.260857e-01                     0
   1198.0000  3.731529e+00  1.268093e-01                     0
   1198.4000  3.226805e+00  1.197317e-01                     0
   1198.8000  2.666292e+00  1.086954e-01                     0
   1199.2000  3.029062e+00  1.155954e-01                     0
   1199.6000  1.958614e+00  9.867611e-02                     0
   1200.0000  2.225103e+00  1.018771e-01                     0
   1200.4000  1.688322e+00  9.219903e-02                     0
   1200.8000  2.350416e+00  1.040789e-01                     0
   1201.2000  4.238504e+00  1.289200e-01                     0
   1201.6000  4.748466e+00  1.310451e-01                     0
   1202.0000  5.070426e+00  1.326109e-01                     0
   1202.4000  4.636577e+00  1.331263e-01                     0
   1202.8000  4.001546e+00  1.246626e-01                     0
   1203.2000  3.601290e+00  1.211367e-01                     0
   1203.6000  3.681501e+00  1.210012e-01                     0
   1204.0000  3.805240e+00  1.211073e-01                     0
   1204.4000  3.592182e+00  1.204169e-01                     0
   1204.8000  3.377078e+00  1.173267e-01                     0
   1205.2000  3.232179e+00  1.133834e-01                     0
   1205.6000  3.424205e+00  1.135335e-01                     0
   1206.0000  3.223232e+00  1.103137e-01                     0
   1206.4000  1.556294e+00  8.609321e-02                     0
