#Final resampeld spectrum with mask used for the fit
#
#Milky Way reddening already corrected
#
#Four columns
#1. lambda   2. flux   3. error   4. mask
#
   1136.0000  4.503117e-01  9.576739e-02                     0
   1136.4000  6.301584e-01  9.774995e-02                     0
   1136.8000  1.785532e+00  1.146384e-01                     0
   1137.2000  2.878077e+00  1.274040e-01                     0
   1137.6000  2.704743e+00  1.226480e-01                     0
   1138.0000  1.979752e+00  1.175081e-01                     0
   1138.4000  2.425948e+00  1.259645e-01                     0
   1138.8000  2.282727e+00  1.207148e-01                     0
   1139.2000  2.455893e+00  1.234953e-01                     0
   1139.6000  2.371367e+00  1.236136e-01                     0
   1140.0000  1.931230e+00  1.177895e-01                     0
   1140.4000  1.706478e+00  1.152835e-01                     0
   1140.8000  1.578845e+00  1.155264e-01                     0
   1141.2000  1.754674e+00  1.164501e-01                     0
   1141.6000  2.152284e+00  1.211406e-01                     0
   1142.0000  2.164837e+00  1.224990e-01                     0
   1142.4000  2.213419e+00  1.244019e-01                     0
   1142.8000  1.594785e+00  1.149303e-01                     0
   1143.2000  1.230812e+00  1.140924e-01                     0
   1143.6000  1.770781e+00  1.213092e-01                     0
   1144.0000  1.541433e+00  1.144918e-01                     0
   1144.4000  1.360360e+00  1.141987e-01                     0
   1144.8000  7.030864e-01  1.051979e-01                     0
   1145.2000  1.277148e+00  1.104990e-01                     0
   1145.6000  1.667498e+00  1.186960e-01                     0
   1146.0000  1.154550e+00  1.126006e-01                     0
   1146.4000  7.900822e-01  1.058441e-01                     0
   1146.8000  1.216717e+00  1.145051e-01                     0
   1147.2000  2.314137e+00  1.286086e-01                     1
   1147.6000  2.509602e+00  1.294288e-01                     1
   1148.0000  2.556052e+00  1.294398e-01                     1
   1148.4000  2.695935e+00  1.328549e-01                     1
   1148.8000  2.195525e+00  1.259661e-01                     1
   1149.2000  2.460320e+00  1.284983e-01                     1
   1149.6000  2.143705e+00  1.263101e-01                     1
   1150.0000  2.785402e+00  1.332814e-01                     1
   1150.4000  2.628008e+00  1.293783e-01                     1
   1150.8000  2.668658e+00  1.321017e-01                     1
   1151.2000  2.502120e+00  1.300568e-01                     1
   1151.6000  2.650367e+00  1.316872e-01                     1
   1152.0000  2.387969e+00  1.293478e-01                     1
   1152.4000  2.043944e+00  1.231435e-01                     1
   1152.8000  2.327721e+00  1.247732e-01                     1
   1153.2000  2.361370e+00  1.256468e-01                     1
   1153.6000  2.157972e+00  1.238127e-01                     1
   1154.0000  1.972804e+00  1.198813e-01                     1
   1154.4000  1.774534e+00  1.166415e-01                     1
   1154.8000  2.088305e+00  1.224043e-01                     1
   1155.2000  2.028774e+00  1.229776e-01                     1
   1155.6000  1.693942e+00  1.148670e-01                     1
   1156.0000  1.772488e+00  1.173379e-01                     1
   1156.4000  1.935831e+00  1.188944e-01                     1
   1156.8000  2.050561e+00  1.187787e-01                     1
   1157.2000  2.029503e+00  1.201688e-01                     1
   1157.6000  1.977426e+00  1.195014e-01                     1
   1158.0000  2.273965e+00  1.211474e-01                     1
   1158.4000  2.299459e+00  1.226332e-01                     1
   1158.8000  2.489359e+00  1.250575e-01                     1
   1159.2000  2.175121e+00  1.190988e-01                     1
   1159.6000  1.800230e+00  1.146660e-01                     1
   1160.0000  2.778825e+00  1.295942e-01                     1
   1160.4000  2.399062e+00  1.241156e-01                     1
   1160.8000  2.430556e+00  1.218563e-01                     1
   1161.2000  2.158442e+00  1.195205e-01                     1
   1161.6000  2.233731e+00  1.196046e-01                     1
   1162.0000  2.142820e+00  1.175755e-01                     1
   1162.4000  2.447646e+00  1.229525e-01                     1
