#Final resampeld spectrum with mask used for the fit
#
#Milky Way reddening already corrected
#
#Four columns
#1. lambda   2. flux   3. error   4. mask
#
   1136.0000  2.895617e+00  1.298781e-01                     0
   1136.4000  2.974840e+00  1.329618e-01                     0
   1136.8000  2.986514e+00  1.310170e-01                     0
   1137.2000  2.703871e+00  1.307056e-01                     0
   1137.6000  2.548982e+00  1.259689e-01                     0
   1138.0000  3.120280e+00  1.360161e-01                     0
   1138.4000  2.633734e+00  1.158266e-01                     0
   1138.8000  3.249130e+00  1.411864e-01                     0
   1139.2000  3.266633e+00  1.400987e-01                     0
   1139.6000  3.152172e+00  1.399600e-01                     0
   1140.0000  3.003209e+00  1.358130e-01                     0
   1140.4000  3.173305e+00  1.378702e-01                     0
   1140.8000  2.919032e+00  1.346056e-01                     0
   1141.2000  2.955272e+00  1.374971e-01                     0
   1141.6000  2.601815e+00  1.287862e-01                     0
   1142.0000  2.672425e+00  1.324075e-01                     0
   1142.4000  2.498906e+00  1.256390e-01                     0
   1142.8000  3.086781e+00  1.259259e-01                     0
   1143.2000  2.262856e+00  1.217721e-01                     0
   1143.6000  2.774390e+00  1.334815e-01                     0
   1144.0000  2.963229e+00  1.353560e-01                     0
   1144.4000  2.755243e+00  1.319815e-01                     0
   1144.8000  2.224742e+00  1.221246e-01                     0
   1145.2000  2.433570e+00  1.262741e-01                     0
   1145.6000  2.832348e+00  1.327185e-01                     0
   1146.0000  3.010299e+00  1.371450e-01                     0
   1146.4000  2.762755e+00  1.306322e-01                     0
   1146.8000  2.993221e+00  1.268751e-01                     0
   1147.2000  2.720607e+00  1.324914e-01                     0
   1147.6000  2.800172e+00  1.330698e-01                     0
   1148.0000  2.743125e+00  1.302067e-01                     1
   1148.4000  2.388495e+00  1.257337e-01                     1
   1148.8000  3.162394e+00  1.388455e-01                     1
   1149.2000  3.146457e+00  1.365744e-01                     1
   1149.6000  3.222233e+00  1.390426e-01                     1
   1150.0000  3.210188e+00  1.394926e-01                     1
   1150.4000  3.462861e+00  1.419237e-01                     1
   1150.8000  3.081645e+00  1.348491e-01                     1
   1151.2000  3.277718e+00  1.293539e-01                     1
   1151.6000  3.071768e+00  1.355251e-01                     1
   1152.0000  3.113194e+00  1.357110e-01                     1
   1152.4000  3.196246e+00  1.383873e-01                     1
   1152.8000  2.549067e+00  1.262677e-01                     1
   1153.2000  2.771669e+00  1.293168e-01                     1
   1153.6000  3.134971e+00  1.380086e-01                     1
   1154.0000  2.856709e+00  1.328134e-01                     1
   1154.4000  2.505807e+00  1.239977e-01                     1
   1154.8000  3.266712e+00  1.374497e-01                     1
   1155.2000  3.131866e+00  1.289746e-01                     1
   1155.6000  2.757343e+00  1.283209e-01                     1
   1156.0000  2.543683e+00  1.260059e-01                     1
   1156.4000  2.664018e+00  1.287415e-01                     1
   1156.8000  2.759057e+00  1.287908e-01                     1
   1157.2000  2.534864e+00  1.251054e-01                     1
   1157.6000  2.481629e+00  1.251231e-01                     1
   1158.0000  2.607166e+00  1.254737e-01                     1
   1158.4000  2.950362e+00  1.306202e-01                     1
   1158.8000  2.841609e+00  1.305362e-01                     1
   1159.2000  2.910854e+00  1.308247e-01                     1
   1159.6000  2.776565e+00  1.169026e-01                     1
   1160.0000  2.731525e+00  1.263108e-01                     1
   1160.4000  2.755962e+00  1.285408e-01                     1
   1160.8000  2.825581e+00  1.285453e-01                     1
   1161.2000  2.491856e+00  1.242212e-01                     1
   1161.6000  2.509476e+00  1.238079e-01                     1
   1162.0000  2.852019e+00  1.271772e-01                     1
   1162.4000  3.128783e+00  1.335436e-01                     1
   1162.8000  2.948116e+00  1.311692e-01                     1
   1163.2000  2.858028e+00  1.265279e-01                     1
   1163.6000  2.663604e+00  1.166467e-01                     1
   1164.0000  2.902612e+00  1.287033e-01                     1
   1164.4000  2.875169e+00  1.273032e-01                     1
   1164.8000  2.807130e+00  1.248863e-01                     1
   1165.2000  2.871029e+00  1.284502e-01                     1
   1165.6000  2.922517e+00  1.284232e-01                     1
   1166.0000  3.010737e+00  1.287793e-01                     1
   1166.4000  2.892039e+00  1.283053e-01                     1
   1166.8000  2.850014e+00  1.271748e-01                     1
   1167.2000  2.979738e+00  1.274757e-01                     1
   1167.6000  3.134398e+00  1.314879e-01                     1
   1168.0000  3.021548e+00  1.211683e-01                     1
   1168.4000  2.503990e+00  1.169977e-01                     1
   1168.8000  2.325084e+00  1.168553e-01                     1
   1169.2000  2.124581e+00  1.133217e-01                     1
   1169.6000  1.900883e+00  1.072356e-01                     1
   1170.0000  1.857590e+00  1.068461e-01                     1
   1170.4000  2.053268e+00  1.114902e-01                     1
   1170.8000  2.011553e+00  1.089437e-01                     1
   1171.2000  1.869326e+00  1.059043e-01                     1
   1171.6000  1.733993e+00  1.035078e-01                     1
   1172.0000  1.989890e+00  1.036672e-01                     1
   1172.4000  1.489685e+00  9.770850e-02                     1
   1172.8000  1.348971e+00  9.568567e-02                     1
   1173.2000  1.314024e+00  9.465670e-02                     1
   1173.6000  1.425794e+00  9.604548e-02                     1
   1174.0000  1.225482e+00  9.247060e-02                     1
   1174.4000  1.253972e+00  9.377232e-02                     1
   1174.8000  1.308684e+00  9.355011e-02                     1
   1175.2000  1.228278e+00  9.284407e-02                     1
   1175.6000  9.965468e-01  8.707708e-02                     1
   1176.0000  8.443938e-01  8.143832e-02                     1
   1176.4000  1.248006e+00  8.653408e-02                     1
   1176.8000  1.206701e+00  9.173510e-02                     1
   1177.2000  1.215688e+00  9.197424e-02                     1
   1177.6000  1.341180e+00  9.488232e-02                     1
   1178.0000  1.274371e+00  9.376215e-02                     1
   1178.4000  1.543699e+00  9.926946e-02                     1
   1178.8000  1.676462e+00  1.020098e-01                     1
   1179.2000  2.004513e+00  1.102694e-01                     1
   1179.6000  2.223550e+00  1.130254e-01                     1
   1180.0000  3.057118e+00  1.241862e-01                     1
   1180.4000  3.678342e+00  1.283708e-01                     1
   1180.8000  3.825633e+00  1.372152e-01                     1
