#Final resampeld spectrum with mask used for the fit
#
#Milky Way reddening already corrected
#
#Four columns
#1. lambda   2. flux   3. error   4. mask
#
   1136.0000  1.265656e+00  1.377817e-01                     0
   1136.4000  1.582506e+00  1.437688e-01                     0
   1136.8000  1.533687e+00  1.484811e-01                     0
   1137.2000  1.882985e+00  1.581556e-01                     0
   1137.6000  1.472782e+00  1.440057e-01                     0
   1138.0000  2.037909e+00  1.620390e-01                     0
   1138.4000  2.394740e+00  1.557665e-01                     0
   1138.8000  2.540693e+00  1.697747e-01                     0
   1139.2000  2.149544e+00  1.646486e-01                     0
   1139.6000  1.814959e+00  1.536336e-01                     0
   1140.0000  1.732712e+00  1.522222e-01                     0
   1140.4000  2.058292e+00  1.609430e-01                     0
   1140.8000  2.558629e+00  1.755967e-01                     0
   1141.2000  2.665001e+00  1.785433e-01                     0
   1141.6000  2.703314e+00  1.756432e-01                     0
   1142.0000  2.184975e+00  1.679347e-01                     0
   1142.4000  1.751147e+00  1.521075e-01                     0
   1142.8000  2.080444e+00  1.605642e-01                     0
   1143.2000  1.605352e+00  1.359330e-01                     0
   1143.6000  2.098294e+00  1.654768e-01                     0
   1144.0000  1.945036e+00  1.582380e-01                     0
   1144.4000  1.776761e+00  1.542810e-01                     0
   1144.8000  1.221028e+00  1.390095e-01                     0
   1145.2000  1.328191e+00  1.392830e-01                     0
   1145.6000  1.767739e+00  1.512284e-01                     0
   1146.0000  1.953335e+00  1.557664e-01                     0
   1146.4000  2.157180e+00  1.611625e-01                     0
   1146.8000  2.113909e+00  1.498003e-01                     0
   1147.2000  1.538429e+00  1.406042e-01                     0
   1147.6000  1.439770e+00  1.426922e-01                     0
   1148.0000  1.657412e+00  1.466089e-01                     1
   1148.4000  1.723484e+00  1.510096e-01                     1
   1148.8000  1.351511e+00  1.410133e-01                     1
   1149.2000  1.569027e+00  1.467461e-01                     1
   1149.6000  1.469680e+00  1.421926e-01                     1
   1150.0000  1.208035e+00  1.333633e-01                     1
   1150.4000  1.204341e+00  1.334392e-01                     1
   1150.8000  1.234054e+00  1.332393e-01                     1
   1151.2000  1.779250e+00  1.477995e-01                     1
   1151.6000  2.355232e+00  1.521205e-01                     1
   1152.0000  1.888219e+00  1.525627e-01                     1
   1152.4000  2.332120e+00  1.630663e-01                     1
   1152.8000  1.984234e+00  1.522854e-01                     1
   1153.2000  2.055280e+00  1.538024e-01                     1
   1153.6000  2.255876e+00  1.613534e-01                     1
   1154.0000  2.362545e+00  1.623372e-01                     1
   1154.4000  2.155505e+00  1.544949e-01                     1
   1154.8000  2.450975e+00  1.632039e-01                     1
   1155.2000  2.124569e+00  1.432955e-01                     1
   1155.6000  1.883629e+00  1.474619e-01                     1
   1156.0000  2.336972e+00  1.595322e-01                     1
   1156.4000  2.379207e+00  1.607831e-01                     1
   1156.8000  2.053378e+00  1.512546e-01                     1
   1157.2000  2.559928e+00  1.631553e-01                     1
   1157.6000  2.312625e+00  1.584323e-01                     1
   1158.0000  1.983682e+00  1.492405e-01                     1
   1158.4000  2.045854e+00  1.521533e-01                     1
   1158.8000  1.939709e+00  1.500506e-01                     1
   1159.2000  1.872497e+00  1.466515e-01                     1
   1159.6000  1.643839e+00  1.385024e-01                     1
   1160.0000  1.773627e+00  1.360292e-01                     1
   1160.4000  1.769698e+00  1.431040e-01                     1
   1160.8000  2.083931e+00  1.495062e-01                     1
   1161.2000  2.307269e+00  1.552805e-01                     1
   1161.6000  2.305237e+00  1.573696e-01                     1
   1162.0000  1.837778e+00  1.431075e-01                     1
   1162.4000  2.416857e+00  1.570707e-01                     1
   1162.8000  1.856468e+00  1.444946e-01                     1
   1163.2000  2.360000e+00  1.540391e-01                     1
   1163.6000  2.103150e+00  1.379726e-01                     1
   1164.0000  1.932732e+00  1.435226e-01                     1
   1164.4000  2.329037e+00  1.532700e-01                     1
   1164.8000  1.915657e+00  1.438989e-01                     1
   1165.2000  2.418518e+00  1.563103e-01                     1
   1165.6000  2.013539e+00  1.467454e-01                     1
   1166.0000  2.115250e+00  1.474115e-01                     1
   1166.4000  2.100166e+00  1.499850e-01                     1
   1166.8000  2.260446e+00  1.531306e-01                     1
   1167.2000  1.726846e+00  1.387177e-01                     1
   1167.6000  1.686605e+00  1.405316e-01                     1
   1168.0000  2.103129e+00  1.463522e-01                     1
   1168.4000  1.995914e+00  1.328445e-01                     1
   1168.8000  1.985829e+00  1.444444e-01                     1
   1169.2000  2.211017e+00  1.496198e-01                     1
   1169.6000  2.294322e+00  1.482325e-01                     1
   1170.0000  2.296954e+00  1.511229e-01                     1
   1170.4000  2.426598e+00  1.530784e-01                     1
   1170.8000  2.331692e+00  1.495374e-01                     1
   1171.2000  2.365881e+00  1.502302e-01                     1
   1171.6000  2.232681e+00  1.484434e-01                     1
   1172.0000  2.017826e+00  1.301234e-01                     1
   1172.4000  2.205172e+00  1.454915e-01                     1
   1172.8000  2.082644e+00  1.464363e-01                     1
   1173.2000  1.778389e+00  1.389652e-01                     1
   1173.6000  1.675534e+00  1.351936e-01                     1
   1174.0000  1.989784e+00  1.451775e-01                     1
   1174.4000  2.085960e+00  1.458142e-01                     1
   1174.8000  2.077256e+00  1.438374e-01                     1
   1175.2000  2.035207e+00  1.457171e-01                     1
   1175.6000  2.089790e+00  1.483393e-01                     1
   1176.0000  2.095579e+00  1.465762e-01                     1
   1176.4000  1.589128e+00  1.323490e-01                     1
   1176.8000  1.877197e+00  1.312285e-01                     1
   1177.2000  1.857903e+00  1.404146e-01                     1
   1177.6000  1.982857e+00  1.441405e-01                     1
   1178.0000  1.774830e+00  1.419929e-01                     1
   1178.4000  1.574135e+00  1.343209e-01                     1
   1178.8000  1.515108e+00  1.328304e-01                     1
   1179.2000  1.724452e+00  1.402868e-01                     1
   1179.6000  1.413413e+00  1.314506e-01                     1
   1180.0000  1.240616e+00  1.257888e-01                     1
   1180.4000  7.671835e-01  1.000764e-01                     1
   1180.8000  5.149005e-01  9.427698e-02                     1
   1181.2000  3.621557e-01  8.431757e-02                     1
   1181.6000  3.932344e-01  8.706588e-02                     1
   1182.0000  4.852844e-01  9.440308e-02                     1
   1182.4000  7.131222e-01  1.014820e-01                     1
   1182.8000  1.212640e+00  1.217938e-01                     1
   1183.2000  1.779429e+00  1.389258e-01                     0
   1183.6000  1.646037e+00  1.326626e-01                     0
   1184.0000  1.911711e+00  1.377604e-01                     0
   1184.4000  2.038923e+00  1.417431e-01                     0
   1184.8000  1.777555e+00  1.336005e-01                     0
   1185.2000  1.843534e+00  1.267355e-01                     0
   1185.6000  1.791296e+00  1.345585e-01                     0
   1186.0000  1.913144e+00  1.372726e-01                     0
   1186.4000  2.306637e+00  1.439958e-01                     0
   1186.8000  1.870379e+00  1.354553e-01                     0
   1187.2000  2.168802e+00  1.407285e-01                     0
   1187.6000  2.190260e+00  1.391983e-01                     0
   1188.0000  2.095002e+00  1.384712e-01                     0
   1188.4000  2.456456e+00  1.460234e-01                     0
   1188.8000  2.104166e+00  1.282429e-01                     0
   1189.2000  1.952739e+00  1.327947e-01                     0
   1189.6000  1.906085e+00  1.347258e-01                     0
   1190.0000  1.804432e+00  1.305306e-01                     0
   1190.4000  7.385288e-01  9.750131e-02                     0
   1190.8000  1.501333e+00  1.238788e-01                     0
   1191.2000  2.152888e+00  1.359455e-01                     0
   1191.6000  2.028610e+00  1.330049e-01                     0
   1192.0000  2.182799e+00  1.376158e-01                     0
   1192.4000  1.968562e+00  1.301428e-01                     0
   1192.8000  1.739865e+00  1.247793e-01                     0
   1193.2000  1.063370e+00  1.082328e-01                     0
   1193.6000  1.169360e+00  1.067247e-01                     0
   1194.0000  2.175729e+00  1.338143e-01                     0
   1194.4000  1.455188e+00  1.196530e-01                     0
   1194.8000  1.650091e+00  1.238960e-01                     0
   1195.2000  1.832364e+00  1.262056e-01                     0
   1195.6000  1.114146e+00  1.080197e-01                     0
   1196.0000  5.103902e-01  8.887175e-02                     0
   1196.4000  4.777574e-01  8.252157e-02                     0
   1196.8000  1.725658e+00  1.217635e-01                     0
