,Galaxy,Cluster,Age,Metallicity,Beta,Chisq
81,M51,YSC1,7,v94_z040,4.024255636824909,268029.0210391933
82,M51,YSC2,7,v94_z020,4.010633613895818,84155.700711704
83,M51,YSC2,7,v94_z040,4.010633613895818,102054.85043732924
84,NGC 1512,YSC1,8,v94_z020,4.055128664474345,2511.3657690808204
85,NGC 1512,YSC1,8,v94_z040,4.055128664474345,1965.3302026944052
86,NGC 1512,YSC2,8,v94_z020,4.036173387237546,23313.451522135616
87,NGC 1512,YSC2,8,v94_z040,4.036173387237546,14916.709737731533
88,NGC 1566,YSC1,8,v94_z020,4.070657604108203,36661.4226285205
89,NGC 1566,YSC1,8,v94_z040,4.070657604108203,52838.71804403147
90,NGC 1566,YSC2,8,v94_z020,4.04350668851791,12367.8431034335
91,NGC 1566,YSC2,8,v94_z040,4.04350668851791,11835.402920480177
92,M51,YSC1,8,v94_z020,4.024255636824909,353397.128965106
93,M51,YSC1,8,v94_z040,4.024255636824909,271108.2723796176
94,M51,YSC2,8,v94_z020,4.010633613895818,90831.44491922017
95,M51,YSC2,8,v94_z040,4.010633613895818,105943.40845477225
96,NGC 1512,YSC1,9,v94_z020,4.055128664474345,2588.165079212429
97,NGC 1512,YSC1,9,v94_z040,4.055128664474345,1953.877689240319
98,NGC 1512,YSC2,9,v94_z020,4.036173387237546,24666.290516345893
99,NGC 1512,YSC2,9,v94_z040,4.036173387237546,15149.302679084078
100,NGC 1566,YSC1,9,v94_z020,4.070657604108203,36775.02750361968
101,NGC 1566,YSC1,9,v94_z040,4.070657604108203,52723.220968115354
102,NGC 1566,YSC2,9,v94_z020,4.04350668851791,13148.865707488165
103,NGC 1566,YSC2,9,v94_z040,4.04350668851791,12068.885479391074
104,M51,YSC1,9,v94_z020,4.024255636824909,362258.23180063383
105,M51,YSC1,9,v94_z040,4.024255636824909,271311.89439986413
106,M51,YSC2,9,v94_z020,4.010633613895818,91845.15319708404
107,M51,YSC2,9,v94_z040,4.010633613895818,105688.40567695626
